Type,Family id,Family name,Target id,Target name,Subunit id,Subunit name,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,Human Ensembl Gene
vgic,81,Voltage-gated potassium channels (Kv),543,Kv1.6,"","","","","HBK2|RCK2|potassium voltage-gated channel subfamily A member 6|potassium voltage gated channel, shaker related subfamily, member 6|potassium voltage-gated channel, shaker-related subfamily, member 6|potassium channel, voltage gated shaker related subfamily A, member 6|potassium voltage-gated channel, shaker-related, subfamily, member 6|potassium voltage-gated channel",6225,KCNA6,potassium voltage-gated channel subfamily A member 6,12p13.32,NM_002235,NP_002226,P17658,3742,ENSG00000151079
vgic,81,Voltage-gated potassium channels (Kv),544,Kv1.7,"","","","","HAK6|KCNA7|potassium voltage-gated channel subfamily A member 7|potassium channel, voltage gated shaker related subfamily A, member 7|potassium voltage-gated channel",6226,KCNA7,potassium voltage-gated channel subfamily A member 7,19q13.33,NM_031886,NP_114092,Q96RP8,3743,ENSG00000104848
vgic,81,Voltage-gated potassium channels (Kv),545,Kv1.8,"","","","","kv1.10|Kcn1|cyclic GMP gated potassium channel|KCNA10|potassium voltage-gated channel subfamily A member 10|Kcna8|potassium channel, voltage gated shaker related subfamily A, member 10|potassium voltage-gated channel",6219,KCNA10,potassium voltage-gated channel subfamily A member 10,1p13.3,NM_005549,NP_005540,Q16322,3744,ENSG00000143105
vgic,81,Voltage-gated potassium channels (Kv),546,Kv2.1,"","","","","DRK1|Shab|delayed rectifier potassium channel 1|potassium voltage-gated channel subfamily B member 1|potassium voltage-gated channel, Shab-related subfamily, member 1|potassium channel, voltage gated Shab related subfamily B, member 1|potassium channel, voltage gated Shab-related subfamily B, member 1|potassium voltage gated channel",6231,KCNB1,potassium voltage-gated channel subfamily B member 1,20q13.13,NM_004975,NP_004966,Q14721,3745,ENSG00000158445
vgic,81,Voltage-gated potassium channels (Kv),547,Kv2.2,"","","","","CDRK|potassium voltage-gated channel subfamily B member 2|potassium voltage-gated channel, Shab-related subfamily, member 2|potassium channel, voltage gated Shab related subfamily B, member 2|potassium channel, voltage gated Shab-related subfamily B, member 2|potassium voltage gated channel",6232,KCNB2,potassium voltage-gated channel subfamily B member 2,8q21.11,NM_004770,NP_004761,Q92953,9312,ENSG00000182674
vgic,81,Voltage-gated potassium channels (Kv),548,Kv3.1,"","","","","Kcr2-1|KV4|Raw2|Shaw|NGK2-KV4|potassium voltage-gated channel subfamily C member 1|voltage-gated potassium channel subunit Kv4|potassium voltage-gated channel, Shaw-related subfamily, member 1|potassium channel, voltage gated Shaw related subfamily C, member 1|potassium channel, voltage gated Shaw-related subfamily C, member 1|potassium voltage gated channel",6233,KCNC1,potassium voltage-gated channel subfamily C member 1,11p15.1,NM_004976,NP_004967,P48547,3746,ENSG00000129159
vgic,81,Voltage-gated potassium channels (Kv),549,Kv3.2,"","","","","Raw1|potassium voltage-gated channel subfamily C member 2|potassium voltage-gated channel, Shaw-related subfamily, member 2|potassium channel, voltage gated Shaw related subfamily C, member 2|potassium channel, voltage gated Shaw-related subfamily C, member 2|potassium voltage gated channel",6234,KCNC2,potassium voltage-gated channel subfamily C member 2,12q21.1,NM_139136|NM_139137|NM_153748,NP_631874|NP_631875|NP_715624,Q96PR1,3747,ENSG00000166006
vgic,81,Voltage-gated potassium channels (Kv),550,Kv3.3,"","","","","potassium voltage-gated channel subfamily C member 3|Kcr2-3|potassium voltage gated channel, Shaw-related subfamily, member 3|potassium voltage-gated channel, Shaw-related subfamily, member 3|potassium channel, voltage gated Shaw related subfamily C, member 3|potassium channel, voltage gated Shaw-related subfamily C, member 3|potassium voltage gated channel",6235,KCNC3,potassium voltage-gated channel subfamily C member 3,19q13.33,NM_004977,NP_004968,Q14003,3748,ENSG00000131398
vgic,81,Voltage-gated potassium channels (Kv),551,Kv3.4,"","","","","Raw3|Kcnc4|potassium voltage-gated channel subfamily C member 4|Kcr2-4|potassium voltage gated channel, Shaw-related subfamily, member 4|potassium voltage-gated channel, Shaw-related subfamily, member 4|potassium channel, voltage gated Shaw related subfamily C, member 4|potassium channel, voltage gated Shaw-related subfamily C, member 4|potassium voltage gated channel",6236,KCNC4,potassium voltage-gated channel subfamily C member 4,1p13.3,NM_004978,NP_004969,Q03721,3749,ENSG00000116396
vgic,81,Voltage-gated potassium channels (Kv),552,Kv4.1,"","","","","Potassium voltage-gated channel subfamily D member 1|potassium channel, voltage gated Shal related subfamily D, member 1|potassium channel, voltage gated Shal-related subfamily D, member 1|potassium voltage-gated channel",6237,KCND1,potassium voltage-gated channel subfamily D member 1,Xp11.23,NM_004979,NP_004970,Q9NSA2,3750,ENSG00000102057
vgic,81,Voltage-gated potassium channels (Kv),553,Kv4.2,"","","","","Potassium voltage-gated channel subfamily D member 2|RK5|potassium voltage-gated channel, Shal-related subfamily, member 2|potassium channel, voltage gated Shal related subfamily D, member 2|potassium channel, voltage-gated Shal-related subfamily D, member 2|potassium voltage-gated channel, Shal-related family, member 2|potassium voltage-gated channel",6238,KCND2,potassium voltage-gated channel subfamily D member 2,7q31.31,NM_012281,NP_036413,Q9NZV8,3751,ENSG00000184408
vgic,81,Voltage-gated potassium channels (Kv),554,Kv4.3,"","","","","KCND3L|KCND3S|KSHIVB|Potassium voltage-gated channel subfamily D member 3|potassium voltage-gated channel, Shal-related subfamily, member 3|potassium channel, voltage gated Shal related subfamily D, member 3|potassium channel, voltage-gated Shal-related subfamily D, member 3|potassium voltage-gated channel, Shal-related family, member 3|potassium voltage-gated channel",6239,KCND3,potassium voltage-gated channel subfamily D member 3,1p13.2,NM_004980|NM_172198,NP_004971|NP_751948,Q9UK17,3752,ENSG00000171385
vgic,81,Voltage-gated potassium channels (Kv),555,Kv5.1,"","","","","IK8|KH1|KCNF|potassium channel, voltage gated modifier subfamily F, member 1|potassium channel, voltage-gated modifier subfamily F, member 1|potassium voltage-gated channel",6246,KCNF1,potassium voltage-gated channel modifier subfamily F member 1,2p25.1,NM_002236,NP_002227,Q9H3M0,3754,ENSG00000162975
vgic,81,Voltage-gated potassium channels (Kv),556,Kv6.1,"","","","","K13|KCNG1|KH2|potassium channel, voltage gated modifier subfamily G, member 1|potassium channel, voltage-gated modifier subfamily G, member 1|potassium voltage-gated channel",6248,KCNG1,potassium voltage-gated channel modifier subfamily G member 1,20q13.13,NM_002237,NP_002228,Q9UIX4,3755,ENSG00000026559
vgic,81,Voltage-gated potassium channels (Kv),557,Kv6.2,"","","","","KCNF2|KCNG2|cardiac potassium channel subunit (Kv6.2)|potassium channel, voltage gated modifier subfamily G, member 2|potassium voltage-gated channel",6249,KCNG2,potassium voltage-gated channel modifier subfamily G member 2,18q23,NM_012283,NP_036415,Q9UJ96,26251,ENSG00000178342
vgic,81,Voltage-gated potassium channels (Kv),558,Kv6.3,"","","","","Kv10.1|voltage-gated potassium channel subunit Kv10.1|voltage-gated potassium channel subunit Kv6.3|Kv10.1a|Kv10.1b|potassium channel, voltage gated modifier subfamily G, member 3|potassium voltage-gated channel",18306,KCNG3,potassium voltage-gated channel modifier subfamily G member 3,2p21,NM_133329|NM_172344,NP_579875|NP_758847,Q8TAE7,170850,ENSG00000171126
vgic,81,Voltage-gated potassium channels (Kv),559,Kv6.4,"","","","","KV6.3|potassium channel, voltage gated modifier subfamily G, member 4|potassium voltage-gated channel",19697,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,16q24.1,NM_172347,NP_758857,Q8TDN1,93107,ENSG00000168418
vgic,81,Voltage-gated potassium channels (Kv),560,Kv7.1,"","","","","JLNS1|IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1|RWS1|Romano-Ward syndrome 1|KCNA8 |KCNA9|LQT1|slow delayed rectifier|potassium channel, voltage gated KQT-like subfamily Q, member 1|potassium channel, voltage-gated KQT-like subfamily Q, member 1|potassium voltage-gated channel",6294,KCNQ1,potassium voltage-gated channel subfamily Q member 1,11p15.5-p15.4,NM_000218|NM_181798,NP_000209|NP_861463,P51787,3784,ENSG00000053918
vgic,81,Voltage-gated potassium channels (Kv),561,Kv7.2,"","","","","BFNC|EBN1|ENB1|HNSPC|KCNA11|potassium channel subunit alpha KvLQT2|KQT2|potassium channel, voltage gated KQT-like subfamily Q, member 2|potassium channel, voltage-gated KQT-like subfamily Q, member 2|potassium voltage-gated channel",6296,KCNQ2,potassium voltage-gated channel subfamily Q member 2,20q13.33,NM_172107,NP_742105,O43526,3785,ENSG00000075043
vgic,81,Voltage-gated potassium channels (Kv),562,Kv7.3,"","","","","EBN2|potassium channel subunit alpha KvLQT3|potassium voltage-gated channel, KQT-like subfamily, member 3|potassium channel, voltage gated KQT-like subfamily Q, member 3|potassium channel, voltage-gated KQT-like subfamily Q, member 3|potassium voltage-gated channel",6297,KCNQ3,potassium voltage-gated channel subfamily Q member 3,8q24.22,NM_004519,NP_004510,O43525,3786,ENSG00000184156
vgic,81,Voltage-gated potassium channels (Kv),563,Kv7.4,"","","","","DFNA2|potassium channel subunit alpha KvLQT4|potassium voltage-gated channel, KQT-like subfamily, member 4|potassium channel, voltage gated KQT-like subfamily Q, member 4|potassium channel, voltage-gated KQT-like subfamily Q, member 4|potassium voltage-gated channel",6298,KCNQ4,potassium voltage-gated channel subfamily Q member 4,1p34.2,NM_004700|NM_172163,NP_004691|NP_751895,P56696,9132,ENSG00000117013
vgic,81,Voltage-gated potassium channels (Kv),564,Kv7.5,"","","","","Kcnq5l|potassium channel, voltage gated KQT-like subfamily Q, member 5|potassium channel, voltage-gated KQT-like subfamily Q, member 5|potassium voltage-gated channel",6299,KCNQ5,potassium voltage-gated channel subfamily Q member 5,6q13,NM_019842,NP_062816,Q9NR82,56479,ENSG00000185760
vgic,81,Voltage-gated potassium channels (Kv),565,Kv8.1,"","","","","HNKA|kv2.3|kv2.3r|neuronal potassium channel alpha subunit|voltage-gated potassium channel subunit Kv2.3r|vibe|potassium channel, voltage gated modifier subfamily V, member 1|potassium channel, voltage-gated modifier subfamily V, member 1|potassium channel",18861,KCNV1,potassium voltage-gated channel modifier subfamily V member 1,8q23.2,NM_014379,NP_055194,Q6PIU1,27012,ENSG00000164794
vgic,81,Voltage-gated potassium channels (Kv),566,Kv8.2,"","","","","kv11.1|KV11.1|potassium channel, voltage gated modifier subfamily V, member 2|potassium channel, voltage-gated modifier subfamily V, member 2|potassium channel",19698,KCNV2,potassium voltage-gated channel modifier subfamily V member 2,9p24.2,NM_133497,NP_598004,Q8TDN2,169522,ENSG00000168263
vgic,81,Voltage-gated potassium channels (Kv),567,Kv9.1,"","","","","delayed-rectifier K(+) channel alpha subunit 1|potassium voltage-gated channel, modifier subfamily S, member 1|potassium voltage-gated channel|K+ voltage-gated channel",6300,KCNS1,potassium voltage-gated channel modifier subfamily S member 1,20q13.12,NM_002251,NP_002242,Q96KK3,3787,ENSG00000124134
vgic,81,Voltage-gated potassium channels (Kv),568,Kv9.2,"","","","","delayed-rectifier K(+) channel alpha subunit 2|potassium voltage-gated channel, modifier subfamily S, member 2|potassium voltage-gated channel|K+ voltage-gated channel, subfamily S, 2|K+ voltage-gated channel",6301,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,8q22.2,NM_020697,NP_065748,Q9ULS6,3788,ENSG00000156486
vgic,81,Voltage-gated potassium channels (Kv),569,Kv9.3,"","","","","delayed-rectifier K(+) channel alpha subunit 3|voltage-gated potassium channel subunit Kv9.3|potassium voltage-gated channel, modifier subfamily S, member 3|potassium voltage-gated channel",6302,KCNS3,potassium voltage-gated channel modifier subfamily S member 3,2p24.2,NM_002252,NP_002243,Q9BQ31,3790,ENSG00000170745
vgic,81,Voltage-gated potassium channels (Kv),570,Kv10.1,"","","","","eag1a|eag1b|eag1|EAG channel 1|ether-a-go-go potassium channel 1|ether a go-go|potassium voltage-gated channel, subfamily H (eag-related), member 1|potassium channel, voltage gated eag related subfamily H, member 1|potassium voltage-gated channel",6250,KCNH1,potassium voltage-gated channel subfamily H member 1,1q32.2,NM_172362|NM_002238,NP_758872|NP_002229,O95259,3756,ENSG00000143473
vgic,81,Voltage-gated potassium channels (Kv),571,Kv10.2,"","","","","eag2|ether-a-go-go potassium channel 2|potassium voltage-gated channel, subfamily H (eag-related), member 5|potassium channel, voltage gated eag related subfamily H, member 5|potassium voltage-gated channel",6254,KCNH5,potassium voltage-gated channel subfamily H member 5,14q23.2,NM_139318|NM_172375,NP_647479|NP_758963,Q8NCM2,27133,ENSG00000140015
vgic,81,Voltage-gated potassium channels (Kv),572,Kv11.1,"","","","","eag-related protein 1|erg1|ERG-1|ether-a-go-go-related gene potassium channel 1|<em>ether-&agrave;-go-go</em>-related gene|HERG|potassium channel, voltage gated eag related subfamily H, member 2|potassium voltage-gated channel|potassium voltage-gated channel, subfamily H (eag-related), member 2",6251,KCNH2,potassium voltage-gated channel subfamily H member 2,7q36.1,NM_172056|NM_172057|NM_000238,NP_742053|NP_742054|NP_000229,Q12809,3757,ENSG00000055118
vgic,81,Voltage-gated potassium channels (Kv),573,Kv11.2,"","","","","erg2|HERG2|eag-related protein 2|ether-a-go-go-related gene potassium channel 2|ether-a-go-go-related protein 2|potassium voltage-gated channel, subfamily H (eag-related), member 6|potassium channel, voltage gated eag related subfamily H, member 6|potassium voltage-gated channel",18862,KCNH6,potassium voltage-gated channel subfamily H member 6,17q23.3,NM_030779|NM_173092,NP_110406|NP_775115,Q9H252,81033,ENSG00000173826
vgic,81,Voltage-gated potassium channels (Kv),574,Kv11.3,"","","","","erg3|HERG3|eag-related protein 3|ether-a-go-go-related gene potassium channel 3|potassium voltage-gated channel, subfamily H (eag-related), member 7|potassium channel, voltage gated eag related subfamily H, member 7|potassium voltage-gated channel",18863,KCNH7,potassium voltage-gated channel subfamily H member 7,2q24.2,NM_033272|NM_173162,NP_150375|NP_775185,Q9NS40,90134,ENSG00000184611
vgic,81,Voltage-gated potassium channels (Kv),575,Kv12.1,"","","","","elk1|elk3|ELK channel 3|ether-a-go-go-like potassium channel 1|ether-a-go-go-like potassium channel 3|Ets-1|potassium voltage-gated channel, subfamily H (eag-related), member 8|potassium channel, voltage gated eag related subfamily H, member 8|potassium voltage-gated channel",18864,KCNH8,potassium voltage-gated channel subfamily H member 8,3p24.3,NM_144633,NP_653234,Q96L42,131096,ENSG00000183960
vgic,81,Voltage-gated potassium channels (Kv),576,Kv12.2,"","","","","BEC1|Elk2|brain-specific eag-like channel 1|ELK channel 2|ether-a-go-go-like potassium channel 2|potassium voltage-gated channel, subfamily H (eag-related), member 3|potassium channel, voltage gated eag related subfamily H, member 3|potassium voltage-gated channel",6252,KCNH3,potassium voltage-gated channel subfamily H member 3,12q13.12,NM_012284,NP_036416,Q9ULD8,23416,ENSG00000135519
vgic,81,Voltage-gated potassium channels (Kv),577,Kv12.3,"","","","","BEC2|Elk1|brain-specific eag-like channel 2|ELK channel 1|ether-a-go-go-like potassium channel 1|potassium voltage-gated channel, subfamily H (eag-related), member 4|potassium channel, voltage gated eag related subfamily H, member 4|potassium voltage-gated channel",6253,KCNH4,potassium voltage-gated channel subfamily H member 4,17q21.2,NM_012285,NP_036417,Q9UQ05,23415,ENSG00000089558
vgic,124,Voltage-gated proton channel  (Hv1),746,Hv1,"","","","",Voltage-gated proton channel 1 (HVCN1)|Voltage-sensor only protein (VSOP)|BTS|hydrogen voltage-gated channel 1,28240,HVCN1,hydrogen voltage gated channel 1,12q24.11,"","",Q96D96,84329,ENSG00000122986
vgic,82,Voltage-gated sodium channels (NaV),578,Nav1.1,"","","","","RI|Brain type-1|Rat-I|sodium channel, voltage-gated, type I, alpha subunit|sodium channel, voltage gated, type I alpha subunit|sodium channel",10585,SCN1A,sodium voltage-gated channel alpha subunit 1,2q24.3,NM_006920|NM_001165963|NM_001165964|NM_001202435,NP_008851|NP_001159435|NP_001159436,P35498,6323,ENSG00000144285
vgic,82,Voltage-gated sodium channels (NaV),579,Nav1.2,"","","","","RII|Brain-II|Brain type-II|Rat-II|NaCh2|Scn2a1|sodium channel, voltage-gated, type II, alpha subunit|sodium channel, voltage gated, type II alpha subunit|sodium channel, voltage-gated, type II, alpha|sodium channel",10588,SCN2A,sodium voltage-gated channel alpha subunit 2,2q24.3,NM_001040143|NM_001040142,NP_001035233|NP_001035232,Q99250,6326,ENSG00000136531
vgic,82,Voltage-gated sodium channels (NaV),580,Nav1.3,"","","","","Scn3a|Brain type III|sodium channel, voltage-gated, type III, alpha subunit|sodium channel, voltage gated, type III alpha subunit|sodium channel",10590,SCN3A,sodium voltage-gated channel alpha subunit 3,2q24.3,NM_006922,NP_008853,Q9NY46,6328,ENSG00000153253
vgic,82,Voltage-gated sodium channels (NaV),581,Nav1.4,"","","","","&mu;1|SkM1|HYKPP|HYPP|microI|mu-1|NCHVS|sodium channel protein skeletal muscle subunit alpha|sodium channel protein type 4 subunit alpha|mH2|sodium channel, voltage-gated, type IV, alpha subunit|sodium channel, voltage gated, type IV alpha subunit|sodium channel",10591,SCN4A,sodium voltage-gated channel alpha subunit 4,17q23.3,NM_000334,NP_000325,P35499,6329,ENSG00000007314
vgic,82,Voltage-gated sodium channels (NaV),582,Nav1.5,"","","","","cardiac sodium channel|Skm2|SkMII|sodium channel protein type 5|sodium channel, voltage-gated, type V, alpha subunit|sodium channel, voltage gated, type V alpha subunit|sodium channel",10593,SCN5A,sodium voltage-gated channel alpha subunit 5,3p22.2,NM_001099405|NM_001099404|NM_000335|NM_198056|NM_001160160|NM_001160161,NP_001092875|NP_001092874|NP_932173|NP_000326|NP_001153632|NP_001153633,Q14524,6331,ENSG00000183873
vgic,82,Voltage-gated sodium channels (NaV),583,Nav1.6,"","","","","CerIII|NaCh6|PN4|MED|peripheral nerve protein type 4|sodium channel 6|sodium channel protein type 8 subunit alpha|ataxia 3|mnd2|nur14|seal|dmu|sodium channel, voltage gated, type VIII, alpha subunit|sodium channel, voltage gated, type VIII alpha subunit|sodium channel",10596,SCN8A,sodium voltage-gated channel alpha subunit 8,12q13.13,NM_014191,NP_055006,Q9UQD0,6334,ENSG00000196876
vgic,82,Voltage-gated sodium channels (NaV),584,Nav1.7,"","","","","hNE-Na|Nas|PN1|ETHA|NENA|NE-NA|peripheral sodium channel 1|sodium channel protein type 9 subunit alpha|sodium channel, voltage-gated, type IX, alpha subunit|sodium channel, voltage gated, type IX alpha subunit|sodium channel",10597,SCN9A,sodium voltage-gated channel alpha subunit 9,2q24.3,NM_002977,NP_002968,Q15858,6335,ENSG00000169432
vgic,82,Voltage-gated sodium channels (NaV),585,Nav1.8,"","","","","PN3|SNS|hPN3|peripheral nerve sodium channel 3|sensory neuron sodium channel|sodium channel protein type 10 subunit alpha|sodium channel, voltage-gated, type X, alpha subunit|sodium channel, voltage gated, type X alpha subunit|sodium channel",10582,SCN10A,sodium voltage-gated channel alpha subunit 10,3p22.2,NM_006514,NP_006505,Q9Y5Y9,6336,ENSG00000185313
vgic,82,Voltage-gated sodium channels (NaV),586,Nav1.9,"","","","","NaN|SNS2|SCN12A|sensory neuron sodium channel 2|sodium channel protein type 11 subunit alpha|NaT|NSS2|sodium channel, voltage-gated, type XI, alpha subunit|sodium channel, voltage gated, type XI alpha subunit|sodium channel",10583,SCN11A,sodium voltage-gated channel alpha subunit 11,3p22.2,NM_014139,NP_054858,Q9UI33,11280,ENSG00000168356
lgic,68,5-HT3 receptors,378,5-HT3AB,373|374,5-HT3A|5-HT3B,"","",5-HT3A/B,"","","","","","","","",""
lgic,68,5-HT3 receptors,379,5-HT3A,373,5-HT3A,"","","","","","","","","","","",""
lgic,68,5-HT3 receptors,373,5-HT3A,"","","","","5-HT3R|5-HT3 receptor|5-hydroxytryptamine receptor 3|5-hydroxytryptamine receptor 3A|serotonin-gated ion channel receptor|5-hydroxytryptamine (serotonin) receptor 3A, ionotropic",5297,HTR3A,5-hydroxytryptamine receptor 3A,11q23.2,NM_000869|NM_213621,NP_000860|NP_998786,P46098,3359,ENSG00000166736
lgic,68,5-HT3 receptors,374,5-HT3B,"","","","","serotonin receptor 3B|5-HT3 receptor subunit B|5-hydroxytryptamine (serotonin) receptor 3B, ionotropic",5298,HTR3B,5-hydroxytryptamine receptor 3B,11q23.2,NM_006028,NP_006019,O95264,9177,ENSG00000149305
lgic,68,5-HT3 receptors,375,5-HT3C,"","","","","5-hydroxytryptamine (serotonin) receptor 3C, ionotropic",24003,HTR3C,5-hydroxytryptamine receptor 3C,3q27.1,NM_130770,NP_570126,Q8WXA8,170572,ENSG00000178084
lgic,68,5-HT3 receptors,376,5-HT3D,"","","","","5-HT3D|5-hydroxytryptamine (serotonin) receptor 3D, ionotropic",24004,HTR3D,5-hydroxytryptamine receptor 3D,3q27.1,NM_182537,NP_872343,Q70Z44,200909,ENSG00000186090
lgic,68,5-HT3 receptors,377,5-HT3E,"","","","","HTR3C1long|5-hydroxytryptamine (serotonin) receptor 3E, ionotropic",24005,HTR3E,5-hydroxytryptamine receptor 3E,3q27.1,NM_182589,NP_872395,A5X5Y0,285242,ENSG00000186038
lgic,118,Acid-sensing (proton-gated) ion channels (ASICs),684,ASIC1,"","","","","BNaC2|ACCN2|amiloride-sensitive cation channel 2, neuronal|acid-sensing ion channel 1|brain sodium channel 2|ASIC1 beta|ASICalpha|acid-sensing (proton-gated) ion channel 1|acid sensing (proton gated) ion channel 1",100,ASIC1,acid sensing ion channel subunit 1,12q13.12,"","",P78348,41,ENSG00000110881
lgic,118,Acid-sensing (proton-gated) ion channels (ASICs),685,ASIC2,"","","","","ACCN|ACCN1|acid-sensing ion channel 2|acid-sensing (proton-gated) ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive brain sodium channel 2|amiloride-sensitive cation channel 1|amiloride-sensitive cation channel 1, neuronal|ASIC2a|BNaC1|BNaC1a|BNC1|BNC1k|brain sodium channel 1|degenerin|MDEG",99,ASIC2,acid sensing ion channel subunit 2,17q11.2-q12,"","",Q16515,40,ENSG00000108684
lgic,118,Acid-sensing (proton-gated) ion channels (ASICs),686,ASIC3,"","","","","DRASIC|TNaC1|ACCN3|amiloride-sensitive cation channel 3, testis|testis sodium channel 1|acid sensing ion channel 3|dorsal root ASIC|acid-sensing (proton-gated) ion channel 3|acid sensing (proton gated) ion channel 3",101,ASIC3,acid sensing ion channel subunit 3,7q36.1,"","",Q9UHC3,9311,ENSG00000213199
lgic,122,Epithelial sodium channel (ENaC),742,ENaC&alpha;&beta;&gamma;,738|739|741,ENaC &alpha;|ENaC &beta;|ENaC &gamma;,"","","","","","","","","","","",""
lgic,122,Epithelial sodium channel (ENaC),738,ENaC &alpha;,"","","","","SCNN1|alpha-ENaC|amiloride-sensitive sodium channel subunit alpha|epithelial Na(+) channel subunit alpha|epithelial sodium channel alpha subunit|nonvoltage-gated sodium channel 1 subunit alpha|SCNEA|ENaC alpha|sodium channel, non-voltage-gated 1 alpha subunit|sodium channel, non voltage gated 1 alpha subunit|sodium channel|sodium channel epithelial 1 alpha subunit",10599,SCNN1A,sodium channel epithelial 1 subunit alpha,12p13,"","",P37088,6337,ENSG00000111319
lgic,122,Epithelial sodium channel (ENaC),739,ENaC &beta;,"","","","","ENaCbeta|beta-ENaC|beta-NaCH|epithelial Na(+) channel subunit beta|RNENACB|SCNEB|ENaC beta|sodium channel, non-voltage-gated 1, beta subunit|sodium channel, non voltage gated 1 beta subunit|sodium channel|sodium channel epithelial 1 beta subunit",10600,SCNN1B,sodium channel epithelial 1 subunit beta,16p12.2-p12.1,"","",P51168,6338,ENSG00000168447
lgic,122,Epithelial sodium channel (ENaC),741,ENaC &gamma;,"","","","","SCNEG|amiloride sensitive sodium channel gamma1 subunit|ENaC|epithelial Na(+) channel subunit gamma|epithelial sodium channel gamma subunit|gamma-ENaC|gamma-NaCH|ENaC gamma|sodium channel, non-voltage-gated 1, gamma subunit|sodium channel, non voltage gated 1 gamma subunit|sodium channel|sodium channel epithelial 1 gamma subunit",10602,SCNN1G,sodium channel epithelial 1 subunit gamma,16p12.2,"","",P51170,6340,ENSG00000166828
lgic,122,Epithelial sodium channel (ENaC),740,ENaC &delta;,"","","","","dNaCh|ENaCdelta|sodium channel, non-voltage-gated 1, delta subunit|sodium channel, non voltage gated 1 delta subunit|sodium channel epithelial 1 delta subunit",10601,SCNN1D,sodium channel epithelial 1 subunit delta,1p36.33,"","",P51172,6339,ENSG00000162572
lgic,72,GABAA receptors,404,GABAA receptor &alpha;1 subunit,"","","","","EJM5|gamma-aminobutyric acid receptor subunit alpha-1|Gabra-1|gamma-aminobutyric acid (GABA) A receptor, alpha 1|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha1 subunit",4075,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,5q34,NM_000806,NP_000797,P14867,2554,ENSG00000022355
lgic,72,GABAA receptors,405,GABAA receptor &alpha;2 subunit,"","","","","gamma-aminobutyric acid receptor subunit alpha-2|Gabra-2|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha2 subunit",4076,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,4p12,NM_000807,NP_000798,P47869,2555,ENSG00000151834
lgic,72,GABAA receptors,406,GABAA receptor &alpha;3 subunit,"","","","","gamma-aminobutyric acid receptor subunit alpha-3|Gabra-3|gamma-aminobutyric acid (GABA) A receptor, alpha 3|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha3 subunit",4077,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,Xq28,NM_000808,NP_000799,P34903,2556,ENSG00000011677
lgic,72,GABAA receptors,407,GABAA receptor &alpha;4 subunit,"","","","","gamma-aminobutyric acid receptor subunit alpha-4|Gabra-4|gamma-aminobutyric acid (GABA) A receptor, alpha 4|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha4 subunit",4078,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4,4p12,NM_000809,NP_000800,P48169,2557,ENSG00000109158
lgic,72,GABAA receptors,408,GABAA receptor &alpha;5 subunit,"","","","","gamma-aminobutyric acid receptor subunit alpha-5|gamma-aminobutyric acid (GABA) A receptor, alpha 5|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha5 subunit|gamma-aminobutyric acid type A receptor alpha 5 subunit",4079,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,15q12,NM_000810,NP_000801,P31644,2558,ENSG00000186297
lgic,72,GABAA receptors,409,GABAA receptor &alpha;6 subunit,"","","","","gamma-aminobutyric acid receptor subunit alpha-6|Gabra-6|gamma-aminobutyric acid (GABA) A receptor, alpha 6|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6|gamma-aminobutyric acid (GABA) A receptor|gamma-aminobutyric acid type A receptor alpha6 subunit|gamma-aminobutyric acid type A receptor alpha 6 subunit",4080,GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6,5q34,NM_000811,NP_000802,Q16445,2559,ENSG00000145863
